[<textarea class="input" readonly="readonly" rows="20">[template=charSML] name=Astaroth | slug=astaroth [/template]
[h2]Character Notations[/h2]


[CLEAR][h2]Horizontal Attacks[/h2]
[template=FD6STR] [/template]
[template=FD6ROW] atk=Annihilation | cmd=:A: | lvl=:H: | dmg=18 | chip= | imp=20 | grd=-4 | hit=2 | cnt=6 | gb=4% | nts= [/template]
[template=FD6ROW] atk=Annihilation | cmd=:A::A: | lvl=:H::H: | dmg=38 | chip= | imp=20 | grd=-8 | hit=2 | cnt=2 | gb=5% | nts= NCC / +14 on CH 2nd hit [/template]
[template=FD6ROW] atk=Destruction | cmd=:A::B: | lvl=:H::M: | dmg=40 | chip= | imp=20 | grd=-12 | hit=+0 | cnt=+0 | gb=10% | nts= NCC / KND on CH 2nd hit [/template]
[template=FD6ROW] atk=Hades Control | cmd=:6::A: | lvl=:H: | dmg=18 | chip= | imp=18 | grd=-6 | hit=4 | cnt=14 | gb=4% | nts= [/template]
[template=FD6ROW] atk=Ax Blow | cmd=:3::A: | lvl=:M: | dmg=24 | chip= | imp=20 | grd=-10 | hit=+0 | cnt=6 | gb=4% | nts= [/template]
[template=FD6ROW] atk=Hades Break | cmd=:2::A: | lvl=:L: | dmg=18 | chip= | imp=20 | grd=-14 | hit=-4 | cnt=-4 | gb=1% | nts= [/template]
[template=FD6ROW] atk=Discus | cmd=:1::A: | lvl=:L: | dmg=26 | chip= | imp=36 | grd=-14 | hit=-6 | cnt=KND | gb=4% | nts= [/template]
[template=FD6ROW] atk=Double Discus | cmd=:1::(A): | lvl=:L: | dmg=32 | chip= | imp=56 | grd=-16 | hit=KND | cnt=KND | gb=4% | nts= [/template]
[template=FD6ROW] atk=Double Discus | cmd=:1::(A)::A: | lvl=:L::L: | dmg=59 | chip= | imp=56 | grd=-24 | hit=KND | cnt=KND | gb=5% | nts=NC [/template]
[template=FD6ROW] atk=Discus Breaker| cmd=:1::(A)::B: | lvl=:L::M: | dmg=64 | chip= | imp=56 | grd=8 | hit=KND | cnt=KND | gb=16% | nts=:BA: NC [/template]
[template=FD6ROW] atk=Decimation | cmd=:4::A: | lvl=:H: | dmg=10 | chip= | imp=12 | grd=-12 | hit=+0 | cnt=+0 | gb=1% | nts= [/template]
[template=FD6ROW] atk=Decimation | cmd=:4::A::A: | lvl=:H::H: | dmg=24 | chip= | imp=12 | grd=4 | hit=14 | cnt=14 | gb=3% | nts= [/template]
[template=FD6ROW] atk=Decimation | cmd=:4::A::(A): | lvl=:H::H: | dmg=34 | chip= | imp=12 | grd=8 | hit=14 | cnt=14 | gb=8% | nts=:BA: [/template]
[template=FD6ROW] atk=Grip Shot to Ax Volcano | cmd=:4::A::B: | lvl=:H::M: | dmg=40 | chip= | imp=14 | grd=-6 | hit=LNC | cnt=LNC | gb=8% | nts= [/template]
[template=FD6ROW] atk=Poseiden Tide | cmd=:2::1::4::A: | lvl=:M: | dmg=90 | chip= | imp=34 | grd=-14 | hit=KND | cnt=KND | gb=4% | nts=:AT: [/template]
[template=FD6ROW] atk=Poseiden Tide Rush| cmd=:2::1::4::A::A: | lvl=:M::M: | dmg=38 | chip= | imp=34 | grd=-22 | hit= | cnt= | gb=5% | nts=NC [/template]
[template=FD6ROW] atk=Poseiden Tide Rush| cmd=:2::1::4::A::A::A: | lvl=:M::M::M: | dmg=46 | chip= | imp=34 | grd=-22 | hit= | cnt= | gb=7% | nts=NC [/template]
[template=FD6ROW] atk=Poseiden Tide Rush| cmd=:2::1::4::A::A::A::A: | lvl=:M::M::M::M: | dmg=54 | chip= | imp=34 | grd=-22 | hit= | cnt= | gb=8% | nts=NC [/template]
[template=FD6ROW] atk=Poseiden Tide Rush| cmd=:2::1::4::A::A::A::A::A: | lvl=:M::M::M::M::M: | dmg=62 | chip= | imp=34 | grd=-22 | hit= | cnt= | gb=10% | nts=NC [/template]
[template=FD6ROW] atk=Poseiden Tide Rush| cmd=:2::1::4::A::A::A::A::A::A: | lvl=:M::M::M::M::M::M: | dmg=70 | chip= | imp=34 | grd=-16 | hit=-4 | cnt=-4 | gb=12% | nts=NC [/template]
[template=FD6ROW] atk=Hades Break | cmd=FC :A: | lvl=:L: | dmg=18 | chip= | imp=20 | grd=-14 | hit=-4 | cnt=-4 | gb=1% | nts= [/template]
